"序号","仓库名称","仓库编码","事业部商品编码","事业部商品名称","商家商品编码","商家商品标识","库存状态","商品等级编码","库存类型","总库存","可用库存","事业部编码","事业部名称","计量单位","款号","颜色","尺寸","季节","年份"
"1","杭州亚一公共平台仓1号库","110016902","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"2","北京公共平台仓12号库","118067172","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","8","8","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"3","成都亚一商超B牛奶水饮仓2号库","110021846","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","5","5","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"4","沈阳商超B牛奶水饮仓2号库","110008173","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"5","西安商超B仓1号库","110009210","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","5","5","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"6","深圳商超B牛奶水饮仓1号库","110021519","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"7","武汉商超B牛奶水饮仓1号库","110005995","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","5","5","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"8","沈阳商超B牛奶水饮仓2号库","110008173","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","残品","200","可用","5","5","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"9","成都亚一商超B牛奶水饮仓2号库","110021846","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"10","北京公共平台仓12号库","118067172","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","16","16","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
